,EPOCH,Open,High,Low,Close,Volume,Timestamp,Date,Year,Month,Day,Hour,Minute,Second,WeekDay,YearDay
0,1517443200000,10313.07100061,10400.00092868,10244.59,10306.99000019,345718.44309161,2018-02-01 00:00:00+00:00,2018-02-01,2018,2,1,0,0,0,3,32
1,1517446800000,10306.98231441,10376.53667356,10213.06999647,10279.18,366589.13966294,2018-02-01 01:00:00+00:00,2018-02-01,2018,2,1,1,0,0,3,32
2,1517450400000,10300.00291068,10368.00000951,10233.0,10235.01,278249.28470974,2018-02-01 02:00:00+00:00,2018-02-01,2018,2,1,2,0,0,3,32
3,1517454000000,10235.02702688,10279.40317057,10001.0,10050.0,319376.44494647,2018-02-01 03:00:00+00:00,2018-02-01,2018,2,1,3,0,0,3,32
4,1517457600000,10050.0,10244.715954,10046.0,10244.25415396,431518.73120384,2018-02-01 04:00:00+00:00,2018-02-01,2018,2,1,4,0,0,3,32
5,1517461200000,10244.64999987,10316.94067797,10184.91999668,10225.0,161542.29900434,2018-02-01 05:00:00+00:00,2018-02-01,2018,2,1,5,0,0,3,32
6,1517464800000,10226.02147481,10250.00098041,10121.33,10150.19999956,216174.46619535,2018-02-01 06:00:00+00:00,2018-02-01,2018,2,1,6,0,0,3,32
7,1517468400000,10150.2,10196.99213439,10092.58999996,10092.59,134291.44415983,2018-02-01 07:00:00+00:00,2018-02-01,2018,2,1,7,0,0,3,32
8,1517472000000,10092.58999884,10196.98999997,9785.0,9897.00999712,533913.03995213,2018-02-01 08:00:00+00:00,2018-02-01,2018,2,1,8,0,0,3,32
9,1517475600000,9897.00999972,10071.10392587,9668.0,9680.0,1450808.22968181,2018-02-01 09:00:00+00:00,2018-02-01,2018,2,1,9,0,0,3,32
10,1517479200000,9680.0,9730.87007055,9520.0,9546.4861846,356292.26431289,2018-02-01 10:00:00+00:00,2018-02-01,2018,2,1,10,0,0,3,32
11,1517482800000,9546.47999955,9780.00715791,9522.0,9654.0,302288.21135859,2018-02-01 11:00:00+00:00,2018-02-01,2018,2,1,11,0,0,3,32
12,1517486400000,9639.72,9678.0593746,9388.0,9454.80710024,637423.70677991,2018-02-01 12:00:00+00:00,2018-02-01,2018,2,1,12,0,0,3,32
13,1517490000000,9455.8,9578.06275111,9300.0,9349.82971485,584028.87004103,2018-02-01 13:00:00+00:00,2018-02-01,2018,2,1,13,0,0,3,32
14,1517493600000,9302.32,9714.9899974,9302.0,9452.02,687508.59560498,2018-02-01 14:00:00+00:00,2018-02-01,2018,2,1,14,0,0,3,32
15,1517497200000,9452.02,9549.97640795,9314.0,9351.0,378685.76349561,2018-02-01 15:00:00+00:00,2018-02-01,2018,2,1,15,0,0,3,32
16,1517500800000,9378.0,9378.00287721,9100.0,9109.86,517006.11884363,2018-02-01 16:00:00+00:00,2018-02-01,2018,2,1,16,0,0,3,32
17,1517504400000,9139.12,9228.41107852,9056.0,9220.00124402,311993.90235201,2018-02-01 17:00:00+00:00,2018-02-01,2018,2,1,17,0,0,3,32
18,1517508000000,9147.29,9226.97,9120.0,9139.37049059,104635.19067277,2018-02-01 18:00:00+00:00,2018-02-01,2018,2,1,18,0,0,3,32
19,1517511600000,9139.37,9229.24,8978.31999946,8978.58,341620.56643,2018-02-01 19:00:00+00:00,2018-02-01,2018,2,1,19,0,0,3,32
20,1517515200000,8978.58,9460.42653132,8828.64999957,9447.58775502,379346.0123752,2018-02-01 20:00:00+00:00,2018-02-01,2018,2,1,20,0,0,3,32
21,1517518800000,9367.28,9600.0,9200.03999842,9300.0,244086.03779432,2018-02-01 21:00:00+00:00,2018-02-01,2018,2,1,21,0,0,3,32
22,1517522400000,9413.11,9413.11,9167.48071789,9214.99078501,140764.29270298,2018-02-01 22:00:00+00:00,2018-02-01,2018,2,1,22,0,0,3,32
23,1517526000000,9195.48041391,9397.73459377,9100.00027191,9231.62,161656.69175191,2018-02-01 23:00:00+00:00,2018-02-01,2018,2,1,23,0,0,3,32
24,1517529600000,9277.21016377,9277.24650791,8850.0,8949.991244,314235.41607577,2018-02-02 00:00:00+00:00,2018-02-02,2018,2,2,0,0,0,4,33
25,1517533200000,8956.00023685,8992.27966454,8701.0,8795.0,397779.85565769,2018-02-02 01:00:00+00:00,2018-02-02,2018,2,2,1,0,0,4,33
26,1517536800000,8791.62,9100.2,8753.85999999,9100.2,569266.20477728,2018-02-02 02:00:00+00:00,2018-02-02,2018,2,2,2,0,0,4,33
27,1517540400000,9100.19,9182.1073689,8910.0,8914.0,1279284.50640691,2018-02-02 03:00:00+00:00,2018-02-02,2018,2,2,3,0,0,4,33
28,1517544000000,8914.0,8950.00904257,8800.0,8899.99,678507.02655277,2018-02-02 04:00:00+00:00,2018-02-02,2018,2,2,4,0,0,4,33
29,1517547600000,8870.0,8897.05882353,8773.32999759,8798.45,298401.52361806,2018-02-02 05:00:00+00:00,2018-02-02,2018,2,2,5,0,0,4,33
30,1517551200000,8798.45,8845.0,8532.96,8701.03,342719.84358398,2018-02-02 06:00:00+00:00,2018-02-02,2018,2,2,6,0,0,4,33
31,1517554800000,8701.02999873,8919.72,8682.17,8691.0,444497.82582378,2018-02-02 07:00:00+00:00,2018-02-02,2018,2,2,7,0,0,4,33
32,1517558400000,8705.0,8712.37638739,8500.0,8524.00330766,475664.16208976,2018-02-02 08:00:00+00:00,2018-02-02,2018,2,2,8,0,0,4,33
33,1517562000000,8524.00038211,8668.88205359,8301.0,8550.0,524931.12050584,2018-02-02 09:00:00+00:00,2018-02-02,2018,2,2,9,0,0,4,33
34,1517565600000,8550.0,8572.01213722,8328.22,8395.00069025,496354.82110938,2018-02-02 10:00:00+00:00,2018-02-02,2018,2,2,10,0,0,4,33
35,1517569200000,8383.24386049,8500.00061264,8220.0,8339.0043122,528387.3294689,2018-02-02 11:00:00+00:00,2018-02-02,2018,2,2,11,0,0,4,33
36,1517572800000,8304.98,8500.03727307,8007.99,8436.53,921646.76410596,2018-02-02 12:00:00+00:00,2018-02-02,2018,2,2,12,0,0,4,33
37,1517576400000,8440.00007059,8899.98,8436.54034354,8890.489999,1084358.4480607,2018-02-02 13:00:00+00:00,2018-02-02,2018,2,2,13,0,0,4,33
38,1517580000000,8890.49000331,9100.0585313,8550.0,8752.88,1001625.63673204,2018-02-02 14:00:00+00:00,2018-02-02,2018,2,2,14,0,0,4,33
39,1517583600000,8753.37,9076.03468644,8721.0,9059.99,484196.4011195,2018-02-02 15:00:00+00:00,2018-02-02,2018,2,2,15,0,0,4,33
40,1517587200000,9076.0,9200.04575785,8908.88,9146.0,336974.66785623,2018-02-02 16:00:00+00:00,2018-02-02,2018,2,2,16,0,0,4,33
41,1517590800000,9146.0,9169.79394037,8694.99,8770.73051487,319089.21469997,2018-02-02 17:00:00+00:00,2018-02-02,2018,2,2,17,0,0,4,33
42,1517594400000,8770.73777989,8889.20101625,8618.09,8623.29360968,155371.71267432,2018-02-02 18:00:00+00:00,2018-02-02,2018,2,2,18,0,0,4,33
43,1517598000000,8677.82023745,8806.04,8567.0,8805.44374503,92210.43764297,2018-02-02 19:00:00+00:00,2018-02-02,2018,2,2,19,0,0,4,33
44,1517601600000,8801.39606282,8903.10796951,8630.0,8637.58,46478.57831502,2018-02-02 20:00:00+00:00,2018-02-02,2018,2,2,20,0,0,4,33
45,1517605200000,8637.17233654,8795.27028255,8567.0,8724.72108196,49968.05680597,2018-02-02 21:00:00+00:00,2018-02-02,2018,2,2,21,0,0,4,33
46,1517608800000,8627.47,8888.00609307,8593.91,8801.0,69519.22023653,2018-02-02 22:00:00+00:00,2018-02-02,2018,2,2,22,0,0,4,33
47,1517612400000,8810.000572,9013.46248667,8801.00999937,8858.57999997,104288.25549012,2018-02-02 23:00:00+00:00,2018-02-02,2018,2,2,23,0,0,4,33
48,1517616000000,8858.78,8950.0,8750.0,8767.23,129156.86479996,2018-02-03 00:00:00+00:00,2018-02-03,2018,2,3,0,0,0,5,34
49,1517619600000,8768.47,8816.6,8569.24999839,8619.1,148376.57660636,2018-02-03 01:00:00+00:00,2018-02-03,2018,2,3,1,0,0,5,34
50,1517623200000,8620.69,8741.0225598,8581.08999991,8581.08999991,233787.42882992,2018-02-03 02:00:00+00:00,2018-02-03,2018,2,3,2,0,0,5,34
51,1517626800000,8620.6,8620.6,8260.0,8346.8,342690.44166119,2018-02-03 03:00:00+00:00,2018-02-03,2018,2,3,3,0,0,5,34
52,1517630400000,8346.80337863,8568.91138177,8256.88,8451.44,175356.90705818,2018-02-03 04:00:00+00:00,2018-02-03,2018,2,3,4,0,0,5,34
