,EPOCH,Open,High,Low,Close,Volume,Timestamp,Date,Year,Month,Day,Hour,Minute,Second,WeekDay,YearDay
0,1643673600000,2686.97,2705.89,2674.5,2689.0,4383280.6853291,2022-02-01 00:00:00+00:00,2022-02-01,2022,2,1,0,0,0,1,32
1,1643677200000,2689.0,2702.57,2679.67,2685.06,4053582.3669551895,2022-02-01 01:00:00+00:00,2022-02-01,2022,2,1,1,0,0,1,32
2,1643680800000,2685.46,2720.0,2681.42,2716.11,3690071.796610249,2022-02-01 02:00:00+00:00,2022-02-01,2022,2,1,2,0,0,1,32
3,1643684400000,2715.87,2757.56,2710.25,2751.57,7354993.54891891,2022-02-01 03:00:00+00:00,2022-02-01,2022,2,1,3,0,0,1,32
4,1643688000000,2751.58,2766.0,2734.5,2742.96,4701830.952755062,2022-02-01 04:00:00+00:00,2022-02-01,2022,2,1,4,0,0,1,32
5,1643691600000,2742.97,2751.27,2731.17,2732.02,2802698.9403157956,2022-02-01 05:00:00+00:00,2022-02-01,2022,2,1,5,0,0,1,32
6,1643695200000,2732.02,2738.54,2717.9,2733.25,4281371.902644336,2022-02-01 06:00:00+00:00,2022-02-01,2022,2,1,6,0,0,1,32
7,1643698800000,2733.08,2745.97,2732.41,2736.59,3048796.0448124325,2022-02-01 07:00:00+00:00,2022-02-01,2022,2,1,7,0,0,1,32
8,1643702400000,2736.98,2764.66,2732.62,2764.14,5898158.216356616,2022-02-01 08:00:00+00:00,2022-02-01,2022,2,1,8,0,0,1,32
9,1643706000000,2764.36,2795.82,2729.32,2735.04,12273608.438397298,2022-02-01 09:00:00+00:00,2022-02-01,2022,2,1,9,0,0,1,32
10,1643709600000,2735.45,2744.56,2719.12,2735.73,6093435.461737591,2022-02-01 10:00:00+00:00,2022-02-01,2022,2,1,10,0,0,1,32
11,1643713200000,2736.3,2768.49,2730.31,2761.52,5537990.903882168,2022-02-01 11:00:00+00:00,2022-02-01,2022,2,1,11,0,0,1,32
12,1643716800000,2761.03,2787.23,2754.06,2781.23,8527362.838420346,2022-02-01 12:00:00+00:00,2022-02-01,2022,2,1,12,0,0,1,32
13,1643720400000,2781.11,2805.0,2766.42,2791.46,8107617.614949021,2022-02-01 13:00:00+00:00,2022-02-01,2022,2,1,13,0,0,1,32
14,1643724000000,2791.37,2810.6,2756.11,2770.84,10364959.206319436,2022-02-01 14:00:00+00:00,2022-02-01,2022,2,1,14,0,0,1,32
15,1643727600000,2770.85,2773.37,2730.6,2768.13,11100824.495499413,2022-02-01 15:00:00+00:00,2022-02-01,2022,2,1,15,0,0,1,32
16,1643731200000,2768.14,2815.55,2765.94,2802.7,7964471.684227903,2022-02-01 16:00:00+00:00,2022-02-01,2022,2,1,16,0,0,1,32
17,1643734800000,2802.17,2808.86,2765.58,2781.56,7933551.905215674,2022-02-01 17:00:00+00:00,2022-02-01,2022,2,1,17,0,0,1,32
18,1643738400000,2781.57,2801.51,2759.84,2767.97,5098000.6804160895,2022-02-01 18:00:00+00:00,2022-02-01,2022,2,1,18,0,0,1,32
19,1643742000000,2767.98,2776.55,2750.94,2751.37,5913378.83091127,2022-02-01 19:00:00+00:00,2022-02-01,2022,2,1,19,0,0,1,32
20,1643745600000,2750.86,2785.7,2750.85,2769.92,4342580.715144179,2022-02-01 20:00:00+00:00,2022-02-01,2022,2,1,20,0,0,1,32
21,1643749200000,2769.92,2798.14,2769.83,2796.75,4129137.110247512,2022-02-01 21:00:00+00:00,2022-02-01,2022,2,1,21,0,0,1,32
22,1643752800000,2796.76,2804.91,2775.37,2787.72,7650643.466307933,2022-02-01 22:00:00+00:00,2022-02-01,2022,2,1,22,0,0,1,32
23,1643756400000,2787.72,2804.25,2776.25,2788.04,4205105.914110721,2022-02-01 23:00:00+00:00,2022-02-01,2022,2,1,23,0,0,1,32
24,1643760000000,2787.74,2803.57,2761.55,2772.58,6381147.400179766,2022-02-02 00:00:00+00:00,2022-02-02,2022,2,2,0,0,0,2,33
25,1643763600000,2772.58,2780.02,2743.98,2757.08,5052981.338345755,2022-02-02 01:00:00+00:00,2022-02-02,2022,2,2,1,0,0,2,33
26,1643767200000,2756.39,2779.47,2741.48,2775.0,3511360.2933051777,2022-02-02 02:00:00+00:00,2022-02-02,2022,2,2,2,0,0,2,33
27,1643770800000,2775.0,2796.09,2774.24,2780.6,2969542.6657220772,2022-02-02 03:00:00+00:00,2022-02-02,2022,2,2,3,0,0,2,33
28,1643774400000,2780.61,2780.61,2757.06,2760.09,3402747.3594518504,2022-02-02 04:00:00+00:00,2022-02-02,2022,2,2,4,0,0,2,33
29,1643778000000,2760.1,2768.69,2750.91,2763.37,2711596.84110727,2022-02-02 05:00:00+00:00,2022-02-02,2022,2,2,5,0,0,2,33
30,1643781600000,2763.37,2780.86,2743.31,2753.55,4428298.233829497,2022-02-02 06:00:00+00:00,2022-02-02,2022,2,2,6,0,0,2,33
31,1643785200000,2753.2,2761.54,2742.38,2748.57,3024581.238053247,2022-02-02 07:00:00+00:00,2022-02-02,2022,2,2,7,0,0,2,33
32,1643788800000,2749.16,2764.01,2741.02,2763.23,3417327.605908101,2022-02-02 08:00:00+00:00,2022-02-02,2022,2,2,8,0,0,2,33
33,1643792400000,2762.67,2776.37,2757.43,2775.24,3025099.5814064997,2022-02-02 09:00:00+00:00,2022-02-02,2022,2,2,9,0,0,2,33
34,1643796000000,2775.14,2775.62,2761.55,2763.91,2413764.686191494,2022-02-02 10:00:00+00:00,2022-02-02,2022,2,2,10,0,0,2,33
35,1643799600000,2763.92,2769.29,2753.07,2766.88,1958700.6605400862,2022-02-02 11:00:00+00:00,2022-02-02,2022,2,2,11,0,0,2,33
36,1643803200000,2766.89,2810.33,2765.6,2801.37,6008646.519092707,2022-02-02 12:00:00+00:00,2022-02-02,2022,2,2,12,0,0,2,33
37,1643806800000,2801.37,2803.92,2771.99,2774.21,4362535.763546364,2022-02-02 13:00:00+00:00,2022-02-02,2022,2,2,13,0,0,2,33
38,1643810400000,2774.22,2777.47,2684.79,2687.28,11589501.118484668,2022-02-02 14:00:00+00:00,2022-02-02,2022,2,2,14,0,0,2,33
