,EPOCH,Open,High,Low,Close,Volume,Timestamp,Date,Year,Month,Day,Hour,Minute,Second,WeekDay,YearDay
0,1596240000000,11336.77,11387.65,11222.0,11249.23,593412.1390263713,2020-08-01 00:00:00+00:00,2020-08-01,2020,8,1,0,0,0,5,214
1,1596243600000,11249.14,11298.5,11228.0,11265.05,278841.57732640597,2020-08-01 01:00:00+00:00,2020-08-01,2020,8,1,1,0,0,5,214
2,1596247200000,11265.89,11344.35,11260.53,11334.89,367861.3258849283,2020-08-01 02:00:00+00:00,2020-08-01,2020,8,1,2,0,0,5,214
3,1596250800000,11334.89,11401.34,11321.65,11364.84,593783.6925181068,2020-08-01 03:00:00+00:00,2020-08-01,2020,8,1,3,0,0,5,214
4,1596254400000,11364.78,11426.53,11337.0,11392.35,1217227.8442890325,2020-08-01 04:00:00+00:00,2020-08-01,2020,8,1,4,0,0,5,214
5,1596258000000,11392.51,11642.85,11378.53,11600.0,2897368.9043099354,2020-08-01 05:00:00+00:00,2020-08-01,2020,8,1,5,0,0,5,214
6,1596261600000,11600.0,11746.39,11553.9,11641.53,2696632.1733633145,2020-08-01 06:00:00+00:00,2020-08-01,2020,8,1,6,0,0,5,214
7,1596265200000,11643.86,11671.42,11583.35,11657.88,857775.2577456905,2020-08-01 07:00:00+00:00,2020-08-01,2020,8,1,7,0,0,5,214
8,1596268800000,11657.88,11720.56,11634.54,11670.28,725974.5266755561,2020-08-01 08:00:00+00:00,2020-08-01,2020,8,1,8,0,0,5,214
9,1596272400000,11673.14,11715.91,11630.0,11696.83,996224.5648061974,2020-08-01 09:00:00+00:00,2020-08-01,2020,8,1,9,0,0,5,214
10,1596276000000,11700.0,11725.86,11590.77,11622.89,1245485.2171531415,2020-08-01 10:00:00+00:00,2020-08-01,2020,8,1,10,0,0,5,214
11,1596279600000,11622.89,11652.85,11551.6,11652.85,663034.0113094553,2020-08-01 11:00:00+00:00,2020-08-01,2020,8,1,11,0,0,5,214
12,1596283200000,11652.85,11692.98,11632.21,11671.16,645868.267131253,2020-08-01 12:00:00+00:00,2020-08-01,2020,8,1,12,0,0,5,214
13,1596286800000,11667.25,11667.25,11490.21,11527.76,1145207.8924339702,2020-08-01 13:00:00+00:00,2020-08-01,2020,8,1,13,0,0,5,214
